name,price,link
Microsoft Surface Pro Type Cover Keyboard - Black,"11,000",https://www.startech.com.bd/microsoft-surface-pro-black-keyboard
"Avita Magus Celeron N3350 12.2"" FHD Laptop Charcoal Grey","23,500",https://www.startech.com.bd/avita-magus-celeron-laptop
"Avita Magus Celeron N3350 12.2"" FHD Laptop Steel Blue","23,500",https://www.startech.com.bd/avita-magus-celeron-laptop-steel-blue
"Avita Magus Celeron N3350 12.2"" FHD Laptop Pastel Violet","23,500",https://www.startech.com.bd/avita-magus-celeron-laptop-pastel-violet
"Avita Magus Celeron N3350 12.2"" FHD Laptop Seashell Pink","23,500",https://www.startech.com.bd/avita-magus-celeron-laptop-seashell-pink
"AVITA Essential 14 Celeron N4000 14"" Full HD Laptop Matt Black Color","24,900",https://www.startech.com.bd/avita-essential-14-celeron-n4000-laptop-matt-black
"Chuwi HeroBook Pro+ Intel Celeron 128GB SSD 13.3"" 3K Laptop","26,500",https://www.startech.com.bd/chuwi-herobook-pro-plus-128gb-ssd-laptop
"Chuwi HeroBook Pro+ intel Celeron 13.3"" 3K Laptop","28,400",https://www.startech.com.bd/chuwi-herobook-pro-plus-intel-celeron-laptop
"AVITA Essential 14 Celeron N4000 256GB SSD 14"" Full HD Laptop Matt Black Color","28,600",https://www.startech.com.bd/avita-essential-14-celeron-n4000-256gb-ssd-laptop
"AVITA Essential 14 Celeron N4000 256GB SSD 14"" Full HD Laptop Matt White Color","28,600",https://www.startech.com.bd/avita-essential-14-celeron-n4000-256gb-ssd-laptop-matt-white
"Lenovo Ideapad Slim 3 AMD Dual Core 3020e 14"" HD Laptop","31,000",https://www.startech.com.bd/lenovo-ideapad-slim-3-amd-dual-core-laptop
"HP 15s-du1068TU Celeron N4020 15.6"" HD Laptop","33,000",https://www.startech.com.bd/hp-15s-du1068tu-laptop
"Lenovo IdeaPad Slim 3i Celeron N4020 15.6"" HD Laptop","32,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-celeron-n4020-laptop
HP 15s-du1087TU Intel Celeron N4020 15.6 inch FHD Laptop with Win 10,"34,000",https://www.startech.com.bd/hp-15s-du1087tu-intel-celeron-n4020-laptop
HP 15s-du1086TU Intel Celeron N4020 15.6 inch FHD Laptop with Win 10,"34,000",https://www.startech.com.bd/hp-15s-du1086tu-intel-celeron-n4020-laptop
"Asus Vivobook X515MA Celeron N4020 15.6"" FHD Laptop","35,500",https://www.startech.com.bd/asus-vivobook-x515ma-fhd-laptop
"Asus Vivobook X415MA Celeron N4020 14"" FHD Laptop","35,500",https://www.startech.com.bd/asus-vivobook-x415ma-celeron-n4020-fhd-laptop
HP 15s-du1088TU Intel Pentium N5030 15.6 inch FHD Laptop with Win 10,"37,000",https://www.startech.com.bd/hp-15s-du1088tu-intel-pentium-n5030-laptop
"Avita Pura Ryzen 3 3200U 14"" Full HD Laptop Space Grey Color","37,400",https://www.startech.com.bd/avita-pura-ryzen-3-laptop-space-grey
"HP 15S-GU0008AU AMD Athlon 15.6"" HD Laptop with Windows 10","38,000",https://www.startech.com.bd/hp-15s-gu0008au-hd-laptop
"Dell Inspiron 15-3583 Pentium Gold 5405U 15.6"" HD Laptop","38,500",https://www.startech.com.bd/dell-inspiron-15-3583-pentium-gold-hd-laptop
Acer Aspire 3 A315-23 AMD Athlon Silver 3050U 15.6''HD Laptop,"38,800",https://www.startech.com.bd/acer-aspire-3-a315-23-laptop
Acer Aspire 3 A315-56 Core i3 10th Gen 15.6''FHD Laptop with Windows 10,"42,000",https://www.startech.com.bd/acer-aspire-3-a315-56-core-i3-laptop
"Acer Extensa 15 EX215-52-37YW Core i3 10th Gen 15.6"" FHD Laptop","42,500",https://www.startech.com.bd/acer-extensa-15-ex215-52-37yw-core-i3-laptop
"Acer Extensa 15 EX215-52-384M Core i3 10th Gen 15.6"" FHD Laptop","44,500",https://www.startech.com.bd/acer-extensa-15-ex215-52-384m-core-i3-laptop
"HP 15s-eq1170au Ryzen 3 3250U 15.6"" FHD Laptop","44,500",https://www.startech.com.bd/hp-15s-eq1170au-ryzen-3-laptop
"Lenovo V15 Core i3 10th Gen 15.6"" HD Laptop With Windows 10 Home","46,500",https://www.startech.com.bd/lenovo-v15-core-i3-10th-gen-hd-laptop
"Lenovo IP Slim 3i Core i3 10th Gen 15.6"" Full HD Platinum Grey Laptop","47,500",https://www.startech.com.bd/lenovo-ip-slim-3i-10th-gen-grey-laptop
HP 15s-eq1167AU Ryzen 3 4300U 512 GB SSD 15.6 Inch FHD Laptop with Win 10,"47,800",https://www.startech.com.bd/hp-15s-eq1167au-ryzen-3-4300u-laptop
"ASUS Expert Book P1440FA Core i3 10th Gen 14"" HD Laptop","48,000",https://www.startech.com.bd/asus-expert-book-p1440fa-core-i3-laptop
Asus VivoBook 14 X415JA Core i3 10th Gen 14” FHD Laptop,"48,000",https://www.startech.com.bd/asus-vivobook-14-x415ja-core-i3-10th-gen-laptop
"ASUS VivoBook 15 X515JA Core i3 10th Gen 15.6"" FHD Laptop","48,000",https://www.startech.com.bd/asus-vivobook-15-x515ja-core-i3-10th-gen-laptop
"HP 15s-du1090tu Core i3 10th Gen 15.6"" FHD Laptop","48,000",https://www.startech.com.bd/hp-15s-du1090tu-core-i3-10th-gen-laptop
"Acer Aspire 5 A514-53-34ZY Core i3 10th Gen 14"" HD Laptop","48,000",https://www.startech.com.bd/acer-aspire-5-a514-53-34zy-core-i3-10th-gen-laptop
"Acer Aspire 5 A515-56 Core i3 11th Gen 15.6"" FHD Laptop","49,000",https://www.startech.com.bd/acer-aspire-5-a515-56-core-i3-11th-gen-laptop
"Dell Latitude 15 3510 Core i3 10th Gen 15.6"" HD Laptop","49,000",https://www.startech.com.bd/dell-latitude-3510-core-i3-10th-gen-laptop
"ASUS X512JA Core i3 10th Gen 15.6"" FHD Laptop with Windows 10","49,500",https://www.startech.com.bd/asus-x512ja-core-i3-fhd-laptop
"Dell Vostro 14 3400 Core i3 11th Gen 14"" HD Laptop","49,500",https://www.startech.com.bd/dell-vostro-14-3400-laptop
"Lenovo ThinkPad E14 10th Gen Core i3 1TB HDD 14"" Full HD Laptop","50,000",https://www.startech.com.bd/lenovo-thinkpad-e14-core-i3-10th-gen-1tb-hdd-laptop
"Dell Latitude 3190 2-in-1 Pentium Silver N5030 11.6"" HD Laptop","51,000",https://www.startech.com.bd/dell-latitude-3190-2-in-1-pentium-hd-laptop
"Walton Passion BX5800 Core i5 8th Gen 14"" HD Laptop","51,500",https://www.startech.com.bd/walton-passion-bx5800-core-i5-8th-gen-laptop
"HP 15s-du3023TU Core i3 11th Gen 15.6"" FHD Laptop","52,000",https://www.startech.com.bd/hp-15s-du3023tu-core-i3-11th-gen-laptop
"Walton Passion BP5800 Core i5 8th Gen 15.6"" HD Laptop","52,550",https://www.startech.com.bd/walton-passion-bp5800-core-i5-8th-gen-laptop
"MSI Modern 14 B10MW Core i3 10th Gen 512GB SSD 14"" Full HD Laptop","53,000",https://www.startech.com.bd/msi-modern-14-b10mw-512gb-ssd-laptop
"Acer Extensa 15 EX215-52-58SQ Core i5 10th Gen 15.6"" FHD Laptop","54,500",https://www.startech.com.bd/acer-extensa-15-ex215-52-58sq-core-i5-laptop
"Acer Aspire 5 A514-54 Core i3 11th Gen 14"" FHD Laptop","55,000",https://www.startech.com.bd/acer-aspire-5-a514-54-core-i3-laptop
Acer Aspire 3 A315-56 Core i5 10th Gen 15.6''FHD Laptop with Windows 10,"55,200",https://www.startech.com.bd/acer-aspire-3-a315-56-core-i5-laptop
"HP 14s-dq2095TU Core i3 11th Gen 14"" FHD Laptop","55,500",https://www.startech.com.bd/hp-14s-dq2095tu-core-i3-11th-gen-laptop
"Lenovo Ideapad S145 Core i3 7th Gen 15.6"" FHD Laptop with Windows 10","41,500",https://www.startech.com.bd/lenovo-ideapad-s145-core-i3-7th-gen-laptop
Acer Aspire 3 A315-23 Ryzen 3 3250U 15.6''HD Laptop,"41,800",https://www.startech.com.bd/acer-aspire-3-a315-23-amd-ryzen-3-hd-laptop
"HP 15s-eq1012au Ryzen 3 3250U 15.6"" FHD Laptop","43,500",https://www.startech.com.bd/hp-15s-eq1012au-ryzen-3-laptop
"HP 15s-eq1169AU Ryzen 3 3250U 15.6"" FHD Laptop","45,000",https://www.startech.com.bd/hp-15s-eq1169au-ryzen-3-laptop
Dell Vostro 14-3401 10th Gen Core i3 14” HD Laptop With 3 Years Warranty,"45,000",https://www.startech.com.bd/dell-vostro-14-3401-i3-10th-gen-laptop
"HP 240 G8 Core i3 10th Gen 14"" HD Laptop","45,500",https://www.startech.com.bd/hp-240-g8-core-i3-10th-gen-laptop
"Dell Latitude 3400 Core i3 8th Gen 14.0"" HD Laptop with Finger Print Sensor","46,000",https://www.startech.com.bd/dell-latitude-3400-core-i3-laptop
"Dell Inspiron 15 3501 Core i3 11th Gen 15.6"" FHD Laptop with Windows 10","48,000",https://www.startech.com.bd/dell-inspiron-15-3501-i3-11th-gen-laptop
"Dell Latitude 3410 Core i3 10th Gen 14"" FHD Laptop","49,000",https://www.startech.com.bd/dell-latitude-3410-laptop
Acer Aspire 5 A515-55 Core i3 10th Gen 15.6''FHD Laptop with Windows 10,"49,500",https://www.startech.com.bd/acer-aspire-5-a515-55-core-i3-laptop
"Lenovo IdeaPad S145AMD Ryzen 5 3500U 15.6"" FHD Laptop with Windows 10","49,500",https://www.startech.com.bd/lenovo-ideapad-s145-amd-ryzen-5-3500u-laptop
"Dell Inspiron 15 3501 Core i3 11th Gen 256GB SSD 15.6"" FHD Laptop","50,000",https://www.startech.com.bd/dell-inspiron-15-3501-11th-gen-256gb-ssd-laptop
"Dell Latitude 3510 Core i3 10th Gen 256GB SSD 15.6"" HD Laptop","50,500",https://www.startech.com.bd/dell-latitude-3510-i3-laptop
"Avita Liber V14 Ryzen 5 3500U 14"" FHD Laptop Star Silver","53,990",https://www.startech.com.bd/avita-liber-v14-ryzen-5-laptop
